WORD_KOR WORD_ENG WORD_ENG_DESC WORD_KOR_DESC
소속부 BLNG_BR belonged branch 
 BUDGET BUDGET BUDGET 
포괄 BLKT blanket 
난수 RNUM random numbers 
제각 RMVL remove value 
사업 BUSI business 
송금인명 RMTR_NM remitter name 
영업 BUSI business 
업무비 BUSI_EXPN business expense account 
방수 RMCT room count 
사업명 BUSI_NM a business name 
 RM RM RISK MANAGEMENT 
관련자 RLUR relation user 
종교 RLGN religion 
관계사 RLCO relation company 
 PROCEEDS PROCEEDS PROCEEDS 
 PROCESS PROCESS PROCESS 
산출 PROD product 
생산 PROD product 
사용자당 PERU per user 
작품 PROD product 
제품 PROD product 
 PRODUCT PRODUCT PRODUCT 
 EXCHANGE EXCHANGE EXCHANGE 
 PROFIT PROFIT PROFIT 
 PROGRESS PROGRESS PROGRESS 
프로젝트 PROJ project 
 PROJ PROJ PROJECTED 
커뮤니티 COMY Community 
 COMPOUND COMPOUND COMPOUND 
의뢰서 ASKL ask letter 
의뢰인 ASKM ask man 
한국신용정보 NICE NATIONAL INFORMATION & CREDIT EVALUATION 
나이스 NICE NICE 
조립 ASMB assemble 
 ASOF ASOF AS OF 
자산보유자 ASOR ASSET ORIGINATOR 
호가 ASPR ask a price 
 ASSET ASSET ASSET 
 ASSIGNED ASSIGNED ASSIGNED 
추정 ASSM assumption 
송화인명 CSGR_NM consignor name 
 ASSOC ASSOC ASSOC 
 ASSOCIATE ASSOCIATE ASSOCIATE 
 NET NET net 
승인기호 ASYM approval symbol 
 AT AT AT 
 NEEDS NEED needs 
취득세 ATAX acquisition tax 
 NEAR NEAR NEAR 
요징수 NDCL need collect 
필요성 NCST necessity 
 NAV NAV 순자산가치(Net Asset Value) 
순자산가치 NAV 순자산가치(Net Asset Value) 
귀화 NATZ naturalization 
내국인 NATV a native 
통화별 CRBY BY currency 
통화채 CRBD currency bond 
부속 ATMT attachment 
 CPTY CPTY COUNTERPARTY 
 ATTRIBUTE ATRB attribute 
제휴 CPRT cooperate 
근태 ATTD attitude 
 ATTEN ATTEN ATTEN 
 ATTENTION ATTENTION ATTENTION 
 ATTN ATTN ATTENTION 
상용구 CPHR common phrase 
 ATTR ATTR ATTR 
 CP CP commercial paper 
 AUCTION AUCTION AUCTION 
 COUPON COUPON COUPON 
 COUNTRY COUNTRY COUNTRY 
권한 AUTH authority 
 COUNT COUNT COUNT 
 AUTH AUTH AUTHORIZATION 
인증서 AUTH_SH authentication sheet 
컨텐츠 COT Contents 
자동화 AUTO AUTOmatic operation 
퇴결 RTRT retreat 
 AVERAGE AVERAGE AVERAGE 
리턴 RTRN RETURN 
 AVG AVG AVERAGE 
 AW AW AIR WEY 
실현성 RTIN realization 
실물 RTHG real thing 
임대차 RTCT 임대차 계약 a rental contract 
등록세 RTAX registration tax 
유보 RSVT RESERVATION 
손절매 CTLS CUT LOSS 
관세사 CTMN CTAX_MN 
문화 CULT CULTURE 
 CUM CUM CUMULATIVE 
삼성카드 SSCD samsung card 
조사자 SRVY_MN survey man 
서버 SRVR server 
 CURRENCY CURRENCY CURRENCY 
 CURRENT CURRENT CURRENT 
여유 SRPL surplus 
선임고객전담역 SRM SRM(senior  risk manager) 
 CURVE CURVE CURVE 
원천 SRC source 
 CUSIP CUSIP Committee on uniform securities identification procedures (CUSIP) 
 CUSTOM CUSTOM CUSTOM 
 CUSTOMER CUSTOMER CUSTOMER 
 CUTOFF CUTOFF CUTOFF 
환산이자 CVIN convert interest 
민간투자 CVIV civil investment 
민간 CVL civil 
민원 CVL_APP civil appeal 
환산원금 CVPR convert principal 
표지 CVR cover 
 COVERING CVRN COVERING 
보완 SPMT supplementation 
조달 SPLY supply 
환산 CVRT convert 
환산잔액 CVRT_BAL convert balance 
전환권 CVRT_RGT conversion RIGHT 
자익 SPFT self profit 
 SPECIFIC SPECIFIC SPECIFIC 
 SPECIAL SPECIAL SPECIAL 
 SPEC SPEC SPECIFICATION 
 CYCLE CYCLE CYCLE 
연한채 CYYS YEARS OF A CONTRACT 
금융권구분 FNCE_TYPE finace type 
 SPC SPC Special Purpose Company 
특수채 SPBD special bond 
특인 SPAP SPECIAL APPROVAL 
보조부 SPAB a supplementary account book 
 SP SP  
 SOURCE SOURCE SOURCE 
 SORT SORT SORT 
 SOFT SOFT SOFT 
선출 FO FIRST OUT 
 RISK RISK RISK 
상승 RISE a rise 
 RIPO RIPO ripo 
식품 FOOD food 
이용자 USER user 
 FOREIGN FOREIGN FOREIGN 
사용료 USE_FEE use fee 
 DAYS DAYS DAYS 
 USE USE USE 
 USD USD USD 
차대 DBCR the debit or credit account 
미수수익 URPR un-receive PROFIT 
미수수익2 URP2 un-receive PROFIT 2 
이중 DBLE double 
 DBMS DBMS  
사용량 UQUT a amount(quantity) use 
자료실 DBRD DATA BOARD 
내국수입유산스 DBU domestic banker' usance 
수정자 UPDT_MN update man 
수정전 UPDT_BF correction before 
신고인 DCLR declarer 
신고인명 DCLR_NM declarer_name 
예수 DCLT deposit and collection 
미지급금 UPAY_AMT un-payment amount 
문서 DCMN documents 
서류 DCMN documents 
 RATING RATG rating 
서류명 DCMN_NM document name 
권배락 RAO right allot off 
직급 RANK rank 
임대가 RAMT rent amount 
재조정 RADJ re-adjust 
